X_COORD,Y_COORD,NOM,DEPARTEMEN,PCODE1,PCODE2,PAYS,AUTEUR,DISTRICT,CL_DISTRIC,DATE_CREAT,MAJ,DATE_MAJ,PCODES,PCODE3,REGION,CHEF__LIEU
347277.00000000000,588410.00000000000,Dabou,DABOU,CIV13,CIV1303,COTE D'VOIRE,CNTIG,LAGUNES,AGBOVILLE,2008,OCHA-CI,2012,OCHA-CI,CIV130302,GRANDS PONTS,DABOU
325456.00000000000,625596.00000000000,Sikensi,SIKENSI,CIV13,CIV1302,COTE D'VOIRE,CNTIG,LAGUNES,AGBOVILLE,2008,OCHA-CI,2012,OCHA-CI,CIV130203,AGNEBY-TIASSA,AGBOVILLE
278554.00000000000,580621.00000000000,Grand Lahou,GRAND-LAHOU,CIV13,CIV1303,COTE D'VOIRE,CNTIG,LAGUNES,AGBOVILLE,2008,OCHA-CI,2012,OCHA-CI,CIV130301,GRANDS PONTS,DABOU
342997.00000000000,575148.00000000000,Jacqueville,JACQUEVILLE,CIV13,CIV1303,COTE D'VOIRE,CNTIG,LAGUNES,AGBOVILLE,2008,OCHA-CI,2012,OCHA-CI,CIV130303,GRANDS PONTS,DABOU
298453.00000000000,651464.00000000000,Tiassalé,TIASSALE,CIV13,CIV1302,COTE D'VOIRE,CNTIG,LAGUNES,AGBOVILLE,2008,OCHA-CI,2012,OCHA-CI,CIV130201,AGNEBY-TIASSA,AGBOVILLE
195787.00000000000,772728.00000000000,Bouafle,BOUAFLE,CIV08,CIV0802,COTE D'VOIRE,CNTIG,SASSANDRA-MARAHOUE,DALOA,2008,OCHA-CI,2012,OCHA-CI,CIV080202,MARAHOUE,BOUAFLE
178045.00000000000,733001.00000000000,Sinfra,SINFRA,CIV08,CIV0802,COTE D'VOIRE,CNTIG,SASSANDRA-MARAHOUE,DALOA,2008,OCHA-CI,2012,OCHA-CI,CIV080203,MARAHOUE,BOUAFLE
164292.00000000000,821874.00000000000,Zuenoula,ZUENOULA,CIV08,CIV0802,COTE D'VOIRE,CNTIG,SASSANDRA-MARAHOUE,DALOA,2008,OCHA-CI,2012,OCHA-CI,CIV080201,MARAHOUE,BOUAFLE
3528.46000000000,777357.00000000000,Bangolo,BANGOLO,CIV06,CIV0602,COTE D'VOIRE,CNTIG,MONTAGNES,MAN,2008,OCHA-CI,2012,OCHA-CI,CIV060202,GUEMON,DUEKOUE
-9624.60000000000,858626.00000000000,Biankouma,BIANKOUMA,CIV06,CIV0601,COTE D'VOIRE,CNTIG,MONTAGNES,MAN,2008,OCHA-CI,2012,OCHA-CI,CIV060101,TONKPI,MAN
-69613.10000000001,806043.00000000000,Danane,DANANE,CIV06,CIV0601,COTE D'VOIRE,CNTIG,MONTAGNES,MAN,2008,OCHA-CI,2012,OCHA-CI,CIV060103,TONKPI,MAN
-76334.50000000000,767532.00000000000,Zouan Hounien,ZOUAN-HOUNIEN,CIV06,CIV0601,COTE D'VOIRE,CNTIG,MONTAGNES,MAN,2008,OCHA-CI,2012,OCHA-CI,CIV060104,TONKPI,MAN
32577.70000000000,803934.00000000000,Kouibly,KOUIBLY,CIV06,CIV0602,COTE D'VOIRE,CNTIG,MONTAGNES,MAN,2008,OCHA-CI,2012,OCHA-CI,CIV060201,GUEMON,DUEKOUE
-3261.71000000000,820854.00000000000,Man,MAN,CIV06,CIV0601,COTE D'VOIRE,CNTIG,MONTAGNES,MAN,2008,OCHA-CI,2012,OCHA-CI,CIV060102,TONKPI,MAN
19082.40000000000,747657.00000000000,Duekoue,DUEKOUE,CIV06,CIV0602,COTE D'VOIRE,CNTIG,MONTAGNES,MAN,2008,OCHA-CI,2012,OCHA-CI,CIV060203,GUEMON,DUEKOUE
-54389.10000000000,728904.00000000000,Blolequin,BLOLEQUIN,CIV06,CIV0603,COTE D'VOIRE,CNTIG,MONTAGNES,MAN,2008,OCHA-CI,2012,OCHA-CI,CIV060301,CAVALLY,GUIGLO
3134.35000000000,725452.00000000000,Guiglo,GUIGLO,CIV06,CIV0603,COTE D'VOIRE,CNTIG,MONTAGNES,MAN,2008,OCHA-CI,2012,OCHA-CI,CIV060302,CAVALLY,GUIGLO
-99518.10000000001,730645.00000000000,Toulepleu,TOULEPLEU,CIV06,CIV0603,COTE D'VOIRE,CNTIG,MONTAGNES,MAN,2008,OCHA-CI,2012,OCHA-CI,CIV060303,CAVALLY,GUIGLO
