CNTRY_NAME,CNTRY_CODE,ADM1_NAME,ADM1_PCODE,ADM2_NAME,ADM2_PCODE,ADM3_NAME,ADM3_PCODE,NATREG
Guinea,GIN,Kankan,GIN004,Mandiana,GIN004004,Dialokoro,GIN00400402,Haute Guinee
Guinea,GIN,Nzerekore,GIN008,Beyla,GIN008001,Diaraguerela,GIN00800103,Guinee Forestiere
Guinea,GIN,Labe,GIN006,Labe,GIN006002,Diari,GIN00600203,Moyenne Guinee
Guinea,GIN,Nzerekore,GIN008,Beyla,GIN008001,Diassodou,GIN00800104,Guinee Forestiere
Guinea,GIN,Faranah,GIN003,Dinguiraye,GIN003002,Diatifere,GIN00300203,Haute Guinee
Guinea,GIN,Nzerekore,GIN008,Yomou,GIN008005,Diecke,GIN00800505,Guinee Forestiere
Guinea,GIN,Faranah,GIN003,Dinguiraye,GIN003002,Dinguiraye Ctre,GIN00300204,Haute Guinee
Guinea,GIN,Labe,GIN006,Labe,GIN006002,Dionfo,GIN00600204,Moyenne Guinee
Guinea,GIN,Labe,GIN006,Lelouma,GIN006003,Diontou,GIN00600302,Moyenne Guinee
Guinea,GIN,Mamou,GIN007,Dalaba,GIN007001,Ditinn,GIN00700103,Moyenne Guinee
Guinea,GIN,Faranah,GIN003,Dabola,GIN003001,Dogomet,GIN00300105,Haute Guinee
Guinea,GIN,Kankan,GIN004,Siguiri,GIN004005,Doko,GIN00400502,Haute Guinee
Guinea,GIN,Labe,GIN006,Mali,GIN006004,Donghol Sigon,GIN00600402,Moyenne Guinee
Guinea,GIN,Mamou,GIN007,Pita,GIN007003,Donghol Touma,GIN00700303,Moyenne Guinee
Guinea,GIN,Kankan,GIN004,Kouroussa,GIN004003,Douako,GIN00400306,Haute Guinee
Guinea,GIN,Labe,GIN006,Mali,GIN006004,Dougountouny,GIN00600403,Moyenne Guinee
Guinea,GIN,Mamou,GIN007,Mamou,GIN007002,Dounet,GIN00700202,Moyenne Guinee
Guinea,GIN,Boke,GIN001,Boffa,GIN001001,Douprou,GIN00100102,Basse Guinee
Guinea,GIN,Kankan,GIN004,Kouroussa,GIN004003,Doura,GIN00400307,Haute Guinee
Guinea,GIN,Kindia,GIN005,Dubreka,GIN005002,Dubreka Ctre,GIN00500202,Basse Guinee
Guinea,GIN,Labe,GIN006,Koubia,GIN006001,Fafaya,GIN00600101,Moyenne Guinee
Guinea,GIN,Kindia,GIN005,Dubreka,GIN005002,Falessade,GIN00500203,Basse Guinee
Guinea,GIN,Nzerekore,GIN008,Gueckedou,GIN008006,Fangamadou,GIN00800602,Guinee Forestiere
Guinea,GIN,Kankan,GIN004,Mandiana,GIN004004,Faralako,GIN00400403,Haute Guinee
Guinea,GIN,Faranah,GIN003,Faranah,GIN003003,Faranah Ctre,GIN00300303,Haute Guinee
Guinea,GIN,Kindia,GIN005,Forecariah,GIN005003,Farmoriah,GIN00500303,Basse Guinee
Guinea,GIN,Nzerekore,GIN008,Macenta,GIN008003,Fassankoni,GIN00800305,Guinee Forestiere
Guinea,GIN,Labe,GIN006,Tougue,GIN006005,Fatako,GIN00600501,Moyenne Guinee
Guinea,GIN,Labe,GIN006,Tougue,GIN006005,Fello Koundoua,GIN00600502,Moyenne Guinee
Guinea,GIN,Faranah,GIN003,Kissidougou,GIN003004,Fermessadou,GIN00300405,Guinee Forestiere
Guinea,GIN,Faranah,GIN003,Kissidougou,GIN003004,Firawa,GIN00300406,Guinee Forestiere
Guinea,GIN,Kindia,GIN005,Forecariah,GIN005003,Forecariah Ctre,GIN00500304,Basse Guinee
Guinea,GIN,Nzerekore,GIN008,Beyla,GIN008001,Fouala,GIN00800105,Guinee Forestiere
Guinea,GIN,Labe,GIN006,Mali,GIN006004,Fougou,GIN00600404,Moyenne Guinee
Guinea,GIN,Boke,GIN001,Gaoual,GIN001003,Foulamory,GIN00100301,Moyenne Guinee
Guinea,GIN,Nzerekore,GIN008,Lola,GIN008002,Foumbadou,GIN00800202,Guinee Forestiere
Guinea,GIN,Kankan,GIN004,Siguiri,GIN004005,Franwalia,GIN00400503,Haute Guinee
Guinea,GIN,Kindia,GIN005,Fria,GIN005006,Fria Ctre,GIN00500603,Basse Guinee
Guinea,GIN,Kindia,GIN005,Kindia,GIN005004,Friguiagbe,GIN00500403,Basse Guinee
Guinea,GIN,Labe,GIN006,Koubia,GIN006001,Gadha Woundou,GIN00600102,Moyenne Guinee
Guinea,GIN,Faranah,GIN003,Dinguiraye,GIN003002,Gagnakaly,GIN00300205,Haute Guinee
Guinea,GIN,Nzerekore,GIN008,Lola,GIN008002,Gama Berema,GIN00800203,Guinee Forestiere
Guinea,GIN,Boke,GIN001,Gaoual,GIN001003,Gaoual Ctre,GIN00100302,Moyenne Guinee
Guinea,GIN,Labe,GIN006,Labe,GIN006002,Garambe,GIN00600205,Moyenne Guinee
Guinea,GIN,Labe,GIN006,Mali,GIN006004,Gayah,GIN00600405,Moyenne Guinee
Guinea,GIN,Nzerekore,GIN008,Beyla,GIN008001,Gbakedou,GIN00800106,Guinee Forestiere
Guinea,GIN,Faranah,GIN003,Kissidougou,GIN003004,Gbangbadou,GIN00300407,Guinee Forestiere
Guinea,GIN,Kankan,GIN004,Kankan,GIN004001,Gberedou Baranama,GIN00400104,Haute Guinee
Guinea,GIN,Nzerekore,GIN008,Beyla,GIN008001,Gbessoba,GIN00800107,Guinee Forestiere
Guinea,GIN,Faranah,GIN003,Faranah,GIN003003,Gnaleah,GIN00300304,Haute Guinee
Guinea,GIN,Mamou,GIN007,Pita,GIN007003,Gongoret,GIN00700304,Moyenne Guinee
Guinea,GIN,Mamou,GIN007,Mamou,GIN007002,Gongoret,GIN00700203,Moyenne Guinee
Guinea,GIN,Nzerekore,GIN008,Nzerekore,GIN008004,Gouecke,GIN00800402,Guinee Forestiere
