CNTRY_NAME,CNTRY_CODE,ADM1_CODE,ADM1_NAME,WHO_REGION,ISO_2_CODE,ADM1_COD_1,ADM0_CODE,GUID,WHO_CODE,ISO_2_ADM1,LVL,WHO_STATUS,UN_CODE,UNICEF_REG,CENTER_LON,CENTER_LAT,GlobalID,ADM1_VIZ_N,OCHAPCODE1
Sierra Leone,SLE,SLE03,Southern,AFRO,SL,SL001003000000000000,SL001000000000000000,{897FB4A2-7F57-4FE5-8A41-EEAA7A1347BA},SIL,SL_SOUTHERN,1,Member state,694,WCARO,-12.04495695220,7.79713576060,{44B3B21F-A618-457A-A0A9-81845521C844},Southern,SL03
Sierra Leone,SLE,SLE01,Eastern,AFRO,SL,SL001001000000000000,SL001000000000000000,{579A0FB8-7C70-48C1-B8C4-B99C7C5399CB},SIL,SL_EASTERN,1,Member state,694,WCARO,-10.99480653360,8.23975539748,{B4B31F9C-DC1E-472B-B10C-04FB7FDDC957},Eastern,SL01
Sierra Leone,SLE,SLE04,Western Area,AFRO,SL,SL001004000000000000,SL001000000000000000,{1DEB469C-EEF2-4FE0-9330-A1817C40C40F},SIL,SL_WESTERN AREA,1,Member state,694,WCARO,-13.11872677940,8.33900119882,{C59EB3B8-8CE3-4200-A4A6-A1531D554D10},Western Area,SL04
Sierra Leone,SLE,SLE02,Northern,AFRO,SL,SL001002000000000000,SL001000000000000000,{BBF2DABC-CEB0-4274-A263-8E0B43201D81},SIL,SL_NORTHERN,1,Member state,694,WCARO,-11.98040293500,9.15728745456,{A421E4C4-F4A8-475C-B895-FEF29F32E62D},Northern,SL02
