FID_1,X_COORD,Y_COORD,NOM,SOUS_PREF,PCODE1,PCODE2,PCODE3,PAYS,AUTEUR,DISTRICT,CL_DISTRIC,DEPARTEMEN,DATE_CREAT,MAJ,DATE_MAJ,PCODES,PCODE4,REGION,CL_REGION
22,-1213.90000000000,1055780.00000000000,Odienne,ODIENNE,CIV02,CIV0202,CIV020203,COTE D'IVOIRE,CNTIG,DENGUELE,ODIENNE,ODIENNE,2008,OCHA-CI,2012,OCHA-CI,CIV02020304,KABADOUGOU,ODIENNE
23,-688.34400000000,1089650.00000000000,Samatiguila,SAMATIGUILA,CIV02,CIV0202,CIV020201,COTE D'IVOIRE,CNTIG,DENGUELE,ODIENNE,SAMATIGUILA,2008,OCHA-CI,2012,OCHA-CI,CIV02020101,KABADOUGOU,ODIENNE
24,-46036.20000000000,1057440.00000000000,Seydougou,SEYDOUGOU,CIV02,CIV0202,CIV020203,COTE D'IVOIRE,CNTIG,DENGUELE,ODIENNE,ODIENNE,2008,OCHA-CI,2012,OCHA-CI,CIV02020303,KABADOUGOU,ODIENNE
25,39028.60000000000,1110670.00000000000,Goulia,GOULIA,CIV02,CIV0201,CIV020102,COTE D'IVOIRE,CNTIG,DENGUELE,ODIENNE,KANIASSO,2008,OCHA-CI,2012,OCHA-CI,CIV02010202,FOLON,MINIGNAN
26,-30194.50000000000,1110290.00000000000,Minignan,MINIGNAN,CIV02,CIV0201,CIV020101,COTE D'IVOIRE,CNTIG,DENGUELE,ODIENNE,MINIGNAN,2008,OCHA-CI,2012,OCHA-CI,CIV02010104,FOLON,MINIGNAN
27,8621.48000000000,1133870.00000000000,Tienko,TIENKO,CIV02,CIV0201,CIV020101,COTE D'IVOIRE,CNTIG,DENGUELE,ODIENNE,MINIGNAN,2008,OCHA-CI,2012,OCHA-CI,CIV02010102,FOLON,MINIGNAN
28,66689.80000000000,1065250.00000000000,Madinani,MADINANI,CIV02,CIV0202,CIV020202,COTE D'IVOIRE,CNTIG,DENGUELE,ODIENNE,MADINANI,2008,OCHA-CI,2012,OCHA-CI,CIV02020203,KABADOUGOU,ODIENNE
29,47026.30000000000,1037300.00000000000,Séguélon,SEGUELON,CIV02,CIV0202,CIV020202,COTE D'IVOIRE,CNTIG,DENGUELE,ODIENNE,MADINANI,2008,OCHA-CI,2012,OCHA-CI,CIV02020204,KABADOUGOU,ODIENNE
30,174406.00000000000,678471.00000000000,Gagnoa,GAGNOA,CIV11,CIV1101,CIV110102,COTE D'IVOIRE,CNTIG,GOH-DJIBOUA,GAGNOA,GAGNOA,2008,OCHA-CI,2012,OCHA-CI,CIV11010207,GOH,GAGNOA
31,148854.00000000000,690240.00000000000,Guiberoua,GUIBEROUA,CIV11,CIV1101,CIV110102,COTE D'IVOIRE,CNTIG,GOH-DJIBOUA,GAGNOA,GAGNOA,2008,OCHA-CI,2012,OCHA-CI,CIV11010203,GOH,GAGNOA
32,175734.00000000000,698593.00000000000,Ouragahio,OURAGAHIO,CIV11,CIV1101,CIV110102,COTE D'IVOIRE,CNTIG,GOH-DJIBOUA,GAGNOA,GAGNOA,2008,OCHA-CI,2012,OCHA-CI,CIV11010204,GOH,GAGNOA
33,214507.00000000000,694985.00000000000,Diégonéfla,DIEGONEFLA,CIV11,CIV1101,CIV110101,COTE D'IVOIRE,CNTIG,GOH-DJIBOUA,GAGNOA,OUME,2008,OCHA-CI,2012,OCHA-CI,CIV11010104,GOH,GAGNOA
34,231788.00000000000,705647.00000000000,Oume,OUME,CIV11,CIV1101,CIV110101,COTE D'IVOIRE,CNTIG,GOH-DJIBOUA,GAGNOA,OUME,2008,OCHA-CI,2012,OCHA-CI,CIV11010101,GOH,GAGNOA
35,118530.00000000000,762640.00000000000,Daloa,DALOA,CIV08,CIV0801,CIV080102,COTE D'IVOIRE,CNTIG,SASSANDRA-MARAHOUE,DALOA,DALOA,2008,OCHA-CI,2012,OCHA-CI,CIV08010203,HAUT-SASSANDRA,DALOA
36,134729.00000000000,793123.00000000000,Bédiala,BEDIALA,CIV08,CIV0801,CIV080102,COTE D'IVOIRE,CNTIG,SASSANDRA-MARAHOUE,DALOA,DALOA,2008,OCHA-CI,2012,OCHA-CI,CIV08010201,HAUT-SASSANDRA,DALOA
37,102332.00000000000,747658.00000000000,Gboguhé,GBOGUHE,CIV08,CIV0801,CIV080102,COTE D'IVOIRE,CNTIG,SASSANDRA-MARAHOUE,DALOA,DALOA,2008,OCHA-CI,2012,OCHA-CI,CIV08010205,HAUT-SASSANDRA,DALOA
38,71979.10000000001,749392.00000000000,Zoukougbeu,ZOUKOUGBEU,CIV08,CIV0801,CIV080103,COTE D'IVOIRE,CNTIG,SASSANDRA-MARAHOUE,DALOA,ZOUKOUGBEU,2008,OCHA-CI,2012,OCHA-CI,CIV08010302,HAUT-SASSANDRA,DALOA
39,103274.00000000000,718086.00000000000,Issia,ISSIA,CIV08,CIV0801,CIV080104,COTE D'IVOIRE,CNTIG,SASSANDRA-MARAHOUE,DALOA,ISSIA,2008,OCHA-CI,2012,OCHA-CI,CIV08010404,HAUT-SASSANDRA,DALOA
40,115766.00000000000,816703.00000000000,Vavoua,VAVOUA,CIV08,CIV0801,CIV080101,COTE D'IVOIRE,CNTIG,SASSANDRA-MARAHOUE,DALOA,VAVOUA,2008,OCHA-CI,2012,OCHA-CI,CIV08010104,HAUT-SASSANDRA,DALOA
41,254371.00000000000,792265.00000000000,Tiebissou,TIEBISSOU,CIV07,CIV0702,CIV070202,COTE D'IVOIRE,CNTIG,LACS,DIMBOKRO,TIEBISSOU,2008,OCHA-CI,2012,OCHA-CI,CIV07020201,BELIER,TOUMODI
42,266062.00000000000,716084.00000000000,Djékanou,DJEKANOU,CIV07,CIV0702,CIV070203,COTE D'IVOIRE,CNTIG,LACS,DIMBOKRO,TOUMODI,2008,OCHA-CI,2012,OCHA-CI,CIV07020304,BELIER,TOUMODI
43,251044.00000000000,723775.00000000000,Kokoumbo,KOKUMBO,CIV07,CIV0702,CIV070203,COTE D'IVOIRE,CNTIG,LACS,DIMBOKRO,TOUMODI,2008,OCHA-CI,2012,OCHA-CI,CIV07020303,BELIER,TOUMODI
44,276962.00000000000,724925.00000000000,Toumodi,TOUMODI,CIV07,CIV0702,CIV070203,COTE D'IVOIRE,CNTIG,LACS,DIMBOKRO,TOUMODI,2008,OCHA-CI,2012,OCHA-CI,CIV07020302,BELIER,TOUMODI
45,248348.00000000000,754101.00000000000,Yamoussoukro,YAMOUSSOUKRO,CIV10,CIV1001,CIV100102,COTE D'IVOIRE,CNTIG,DISTRICT AUTONOME DE YAMOUSSOUKRO,YAMOUSSOUKRO,YAMOUSSOUKRO,2008,OCHA-CI,2012,OCHA-CI,CIV10010202,DISTRICT AUTONOME DE YAMOUSSOUKRO,YAMOUSSOUKRO
46,291040.00000000000,787340.00000000000,Didievi,DIDIEVI,CIV07,CIV0702,CIV070201,COTE D'IVOIRE,CNTIG,LACS,DIMBOKRO,DIDIEVI,2008,OCHA-CI,2012,OCHA-CI,CIV07020104,BELIER,TOUMODI
47,305637.00000000000,820491.00000000000,Tie N'Diekro,TIE-N'DIEKRO,CIV07,CIV0702,CIV070201,COTE D'IVOIRE,CNTIG,LACS,DIMBOKRO,DIDIEVI,2008,OCHA-CI,2012,OCHA-CI,CIV07020101,BELIER,TOUMODI
48,383553.00000000000,606827.00000000000,Anyama,ANYAMA,CIV14,CIV1401,CIV140101,COTE D'IVOIRE,CNTIG,DISTRICT AUTONOME D'ABIDJAN,ABIDJAN,ABIDJAN,2008,OCHA-CI,2012,OCHA-CI,CIV14010101,DISTRICT AUTONOME D'ABIDJAN,ABIDJAN
49,384553.00000000000,579681.00000000000,ABIDJAN,ABIDJAN,CIV14,CIV1401,CIV140101,COTE D'IVOIRE,CNTIG,DISTRICT AUTONOME D'ABIDJAN,ABIDJAN,ABIDJAN,2008,OCHA-CI,2012,OCHA-CI,CIV14010105,DISTRICT AUTONOME D'ABIDJAN,ABIDJAN
50,401523.00000000000,592440.00000000000,Bingerville,BINGERVILLE,CIV14,CIV1401,CIV140101,COTE D'IVOIRE,CNTIG,DISTRICT AUTONOME D'ABIDJAN,ABIDJAN,ABIDJAN,2008,OCHA-CI,2012,OCHA-CI,CIV14010104,DISTRICT AUTONOME D'ABIDJAN,ABIDJAN
51,361365.00000000000,588050.00000000000,Songon,SONGON,CIV14,CIV1401,CIV140101,COTE D'IVOIRE,CNTIG,DISTRICT AUTONOME D'ABIDJAN,ABIDJAN,ABIDJAN,2008,OCHA-CI,2012,OCHA-CI,CIV14010102,DISTRICT AUTONOME D'ABIDJAN,ABIDJAN
52,426516.00000000000,608171.00000000000,Alepe,ALEPE,CIV13,CIV1301,CIV130104,COTE D'IVOIRE,CNTIG,LAGUNES,AGBOVILLE,ALEPE,2008,OCHA-CI,2012,OCHA-CI,CIV13010403,ME,ADZOPE
53,347277.00000000000,588410.00000000000,Dabou,DABOU,CIV13,CIV1303,CIV130302,COTE D'IVOIRE,CNTIG,LAGUNES,AGBOVILLE,DABOU,2008,OCHA-CI,2012,OCHA-CI,CIV13030203,GRANDS PONTS,DABOU
54,325456.00000000000,625596.00000000000,Sikensi,SIKENSI,CIV13,CIV1302,CIV130203,COTE D'IVOIRE,CNTIG,LAGUNES,AGBOVILLE,SIKENSI,2008,OCHA-CI,2012,OCHA-CI,CIV13020302,AGNEBY-TIASSA,AGBOVILLE
55,278554.00000000000,580621.00000000000,Grand Lahou,GRAND-LAHOU,CIV13,CIV1303,CIV130301,COTE D'IVOIRE,CNTIG,LAGUNES,AGBOVILLE,GRAND-LAHOU,2008,OCHA-CI,2012,OCHA-CI,CIV13030103,GRANDS PONTS,DABOU
56,342997.00000000000,575148.00000000000,Jacqueville,JACQUEVILLE,CIV13,CIV1303,CIV130303,COTE D'IVOIRE,CNTIG,LAGUNES,AGBOVILLE,JACQUEVILLE,2008,OCHA-CI,2012,OCHA-CI,CIV13030302,GRANDS PONTS,DABOU
57,269306.00000000000,692604.00000000000,Taabo,TAABO,CIV13,CIV1302,CIV130201,COTE D'IVOIRE,CNTIG,LAGUNES,AGBOVILLE,TIASSALE,2008,OCHA-CI,2012,OCHA-CI,CIV13020101,AGNEBY-TIASSA,AGBOVILLE
58,298453.00000000000,651464.00000000000,Tiassale,TIASSALE,CIV13,CIV1302,CIV130201,COTE D'IVOIRE,CNTIG,LAGUNES,AGBOVILLE,TIASSALE,2008,OCHA-CI,2012,OCHA-CI,CIV13020104,AGNEBY-TIASSA,AGBOVILLE
59,195787.00000000000,772728.00000000000,Bouafle,BOUAFLE,CIV08,CIV0802,CIV080202,COTE D'IVOIRE,CNTIG,SASSANDRA-MARAHOUE,DALOA,BOUAFLE,2008,OCHA-CI,2012,OCHA-CI,CIV08020203,MARAHOUE,BOUAFLE
60,163834.00000000000,766781.00000000000,Bonon,BONON,CIV08,CIV0802,CIV080202,COTE D'IVOIRE,CNTIG,SASSANDRA-MARAHOUE,DALOA,BOUAFLE,2008,OCHA-CI,2012,OCHA-CI,CIV08020202,MARAHOUE,BOUAFLE
61,178045.00000000000,733001.00000000000,Sinfra,SINFRA,CIV08,CIV0802,CIV080203,COTE D'IVOIRE,CNTIG,SASSANDRA-MARAHOUE,DALOA,SINFRA,2008,OCHA-CI,2012,OCHA-CI,CIV08020301,MARAHOUE,BOUAFLE
