FID_1,X_COORD,Y_COORD,NOM,SOUS_PREF,PCODE1,PCODE2,PCODE3,PAYS,AUTEUR,DISTRICT,CL_DISTRIC,DEPARTEMEN,DATE_CREAT,MAJ,DATE_MAJ,PCODES,PCODE4,REGION,CL_REGION
96,146678.00000000000,1088460.00000000000,Kassere,KASSERE,CIV01,CIV0101,CIV010103,COTE D'IVOIRE,CNTIG,SAVANES,KORHOGO,BOUNDIALI,2008,OCHA-CI,2012,OCHA-CI,CIV01010302,BAGOUE,BOUNDIALI
97,120664.00000000000,1082900.00000000000,Kolia,KOLIA,CIV01,CIV0101,CIV010102,COTE D'IVOIRE,CNTIG,SAVANES,KORHOGO,KOUTO,2008,OCHA-CI,2012,OCHA-CI,CIV01010205,BAGOUE,BOUNDIALI
98,125812.00000000000,1095910.00000000000,Kouto,KOUTO,CIV01,CIV0101,CIV010102,COTE D'IVOIRE,CNTIG,SAVANES,KORHOGO,KOUTO,2008,OCHA-CI,2012,OCHA-CI,CIV01010203,BAGOUE,BOUNDIALI
99,228758.00000000000,1118480.00000000000,Diawala,DIAWALA,CIV01,CIV0103,CIV010301,COTE D'IVOIRE,CNTIG,SAVANES,KORHOGO,OUANGOLODOUGOU,2008,OCHA-CI,2012,OCHA-CI,CIV01030103,TCHOLOGO,FERKESSEDOUGOU
100,323426.00000000000,1012270.00000000000,Kong,KONG,CIV01,CIV0103,CIV010302,COTE D'IVOIRE,CNTIG,SAVANES,KORHOGO,FERKESSEDOUGOU,2008,OCHA-CI,2012,OCHA-CI,CIV01030205,TCHOLOGO,FERKESSEDOUGOU
101,263695.00000000000,1052900.00000000000,Koumbala,KOUMBALA,CIV01,CIV0103,CIV010302,COTE D'IVOIRE,CNTIG,SAVANES,KORHOGO,FERKESSEDOUGOU,2008,OCHA-CI,2012,OCHA-CI,CIV01030203,TCHOLOGO,FERKESSEDOUGOU
102,212443.00000000000,1128840.00000000000,Nielle,NIELLE,CIV01,CIV0103,CIV010301,COTE D'IVOIRE,CNTIG,SAVANES,KORHOGO,OUANGOLODOUGOU,2008,OCHA-CI,2012,OCHA-CI,CIV01030102,TCHOLOGO,FERKESSEDOUGOU
103,263212.00000000000,1102430.00000000000,Ouangolodougou,OUANGOLODOUGOU,CIV01,CIV0103,CIV010301,COTE D'IVOIRE,CNTIG,SAVANES,KORHOGO,OUANGOLODOUGOU,2008,OCHA-CI,2012,OCHA-CI,CIV01030105,TCHOLOGO,FERKESSEDOUGOU
104,194593.00000000000,1003260.00000000000,Dikodougou,DIKODOUGOU,CIV01,CIV0102,CIV010203,COTE D'IVOIRE,CNTIG,SAVANES,KORHOGO,DIKODOUGOU,2008,OCHA-CI,2012,OCHA-CI,CIV01020302,PORO,KORHOGO
105,202278.00000000000,1022060.00000000000,Guiembé,GUIEMBE,CIV01,CIV0102,CIV010203,COTE D'IVOIRE,CNTIG,SAVANES,KORHOGO,DIKODOUGOU,2008,OCHA-CI,2012,OCHA-CI,CIV01020301,PORO,KORHOGO
106,223361.00000000000,1038840.00000000000,Karakoro,KARAKORO,CIV01,CIV0102,CIV010201,COTE D'IVOIRE,CNTIG,SAVANES,KORHOGO,KORHOGO,2008,OCHA-CI,2012,OCHA-CI,CIV01020109,PORO,KORHOGO
107,232853.00000000000,1033100.00000000000,Komborodougou,KOMBORODOUGOU,CIV01,CIV0102,CIV010201,COTE D'IVOIRE,CNTIG,SAVANES,KORHOGO,KORHOGO,2008,OCHA-CI,2012,OCHA-CI,CIV01020110,PORO,KORHOGO
108,210999.00000000000,1036380.00000000000,Tioroniaradougou,TIORONIARADOUGOU,CIV01,CIV0102,CIV010201,COTE D'IVOIRE,CNTIG,SAVANES,KORHOGO,KORHOGO,2008,OCHA-CI,2012,OCHA-CI,CIV01020112,PORO,KORHOGO
109,162453.00000000000,1063670.00000000000,Niofoin,NIOFOIN,CIV01,CIV0102,CIV010201,COTE D'IVOIRE,CNTIG,SAVANES,KORHOGO,KORHOGO,2008,OCHA-CI,2012,OCHA-CI,CIV01020105,PORO,KORHOGO
110,182049.00000000000,1107620.00000000000,M'Bengué,M'BENGUE,CIV01,CIV0102,CIV010201,COTE D'IVOIRE,CNTIG,SAVANES,KORHOGO,KORHOGO,2008,OCHA-CI,2012,OCHA-CI,CIV01020103,PORO,KORHOGO
111,215718.00000000000,1026020.00000000000,Napiéolédougou,NAPIEOLEDOUGOU,CIV01,CIV0102,CIV010201,COTE D'IVOIRE,CNTIG,SAVANES,KORHOGO,KORHOGO,2008,OCHA-CI,2012,OCHA-CI,CIV01020116,PORO,KORHOGO
112,159050.00000000000,1027180.00000000000,Sirasso,SIRASSO,CIV01,CIV0102,CIV010201,COTE D'IVOIRE,CNTIG,SAVANES,KORHOGO,KORHOGO,2008,OCHA-CI,2012,OCHA-CI,CIV01020115,PORO,KORHOGO
113,238147.00000000000,1060210.00000000000,Sinematiali,SINEMATIALI,CIV01,CIV0102,CIV010202,COTE D'IVOIRE,CNTIG,SAVANES,KORHOGO,SINEMATIALI,2008,OCHA-CI,2012,OCHA-CI,CIV01020201,PORO,KORHOGO
114,211004.00000000000,1046480.00000000000,Korhogo,KORHOGO,CIV01,CIV0102,CIV010201,COTE D'IVOIRE,CNTIG,SAVANES,KORHOGO,KORHOGO,2008,OCHA-CI,2012,OCHA-CI,CIV01020108,PORO,KORHOGO
115,125819.00000000000,1159980.00000000000,Tengrela,TENGRELA,CIV01,CIV0101,CIV010101,COTE D'IVOIRE,CNTIG,SAVANES,KORHOGO,TENGRELA,2008,OCHA-CI,2012,OCHA-CI,CIV01010103,BAGOUE,BOUNDIALI
116,202905.00000000000,647438.00000000000,Lakota,LAKOTA,CIV11,CIV1102,CIV110201,COTE D'IVOIRE,CNTIG,GOH-DJIBOUA,GAGNOA,LAKOTA,2008,OCHA-CI,2012,OCHA-CI,CIV11020104,LOH-DJIBOUA,DIVO
117,200778.00000000000,671688.00000000000,Zikisso,ZIKISSO,CIV11,CIV1102,CIV110201,COTE D'IVOIRE,CNTIG,GOH-DJIBOUA,GAGNOA,LAKOTA,2008,OCHA-CI,2012,OCHA-CI,CIV11020103,LOH-DJIBOUA,DIVO
118,239259.00000000000,646054.00000000000,Divo,DIVO,CIV11,CIV1102,CIV110202,COTE D'IVOIRE,CNTIG,GOH-DJIBOUA,GAGNOA,DIVO,2008,OCHA-CI,2012,OCHA-CI,CIV11020206,LOH-DJIBOUA,DIVO
119,213801.00000000000,566598.00000000000,Fresco,FRESCO,CIV12,CIV1203,CIV120302,COTE D'IVOIRE,CNTIG,BAS-SASSANDRA,SAN PEDRO,FRESCO,2008,OCHA-CI,2012,OCHA-CI,CIV12030203,GBOKLE,SASSANDRA
120,251526.00000000000,610659.00000000000,Guitry,GUITRY,CIV11,CIV1102,CIV110203,COTE D'IVOIRE,CNTIG,GOH-DJIBOUA,GAGNOA,GUITRY,2008,OCHA-CI,2012,OCHA-CI,CIV11020302,LOH-DJIBOUA,DIVO
121,245807.00000000000,684034.00000000000,Hiré,HIRE,CIV11,CIV1102,CIV110202,COTE D'IVOIRE,CNTIG,GOH-DJIBOUA,GAGNOA,DIVO,2008,OCHA-CI,2012,OCHA-CI,CIV11020201,LOH-DJIBOUA,DIVO
122,476392.00000000000,604520.00000000000,Aboisso,ABOISSO,CIV09,CIV0902,CIV090201,COTE D'IVOIRE,CNTIG,COMOE,ABENGOUROU,ABOISSO,2008,OCHA-CI,2012,OCHA-CI,CIV09020104,SUD-COMOE,ABOISSO
123,481820.00000000000,619376.00000000000,Ayamé,AYAME,CIV09,CIV0902,CIV090201,COTE D'IVOIRE,CNTIG,COMOE,ABENGOUROU,ABOISSO,2008,OCHA-CI,2012,OCHA-CI,CIV09020103,SUD-COMOE,ABOISSO
124,434185.00000000000,582562.00000000000,Bonoua,BONOUA,CIV09,CIV0902,CIV090202,COTE D'IVOIRE,CNTIG,COMOE,ABENGOUROU,GRAND-BASSAM,2008,OCHA-CI,2012,OCHA-CI,CIV09020202,SUD-COMOE,ABOISSO
125,466800.00000000000,583622.00000000000,Adiake,ADIAKE,CIV09,CIV0902,CIV090203,COTE D'IVOIRE,CNTIG,COMOE,ABENGOUROU,ADIAKE,2008,OCHA-CI,2012,OCHA-CI,CIV09020301,SUD-COMOE,ABOISSO
126,497708.00000000000,567027.00000000000,Tiapoum,TIAPOUM,CIV09,CIV0902,CIV090204,COTE D'IVOIRE,CNTIG,COMOE,ABENGOUROU,TIAPOUM,2008,OCHA-CI,2012,OCHA-CI,CIV09020403,SUD-COMOE,ABOISSO
127,277247.00000000000,852285.00000000000,Bouake,BOUAKE,CIV04,CIV0402,CIV040203,COTE D'IVOIRE,CNTIG,VALLE DU BANDAMA,BOUAKE,BOUAKE,2008,OCHA-CI,2012,OCHA-CI,CIV04020301,GBEKE,BOUAKE
128,245025.00000000000,870171.00000000000,Botro,BOTRO,CIV04,CIV0402,CIV040201,COTE D'IVOIRE,CNTIG,VALLE DU BANDAMA,BOUAKE,BOTRO,2008,OCHA-CI,2012,OCHA-CI,CIV04020103,GBEKE,BOUAKE
129,298182.00000000000,845642.00000000000,Brobo,BROBO,CIV04,CIV0402,CIV040203,COTE D'IVOIRE,CNTIG,VALLE DU BANDAMA,BOUAKE,BOUAKE,2008,OCHA-CI,2012,OCHA-CI,CIV04020303,GBEKE,BOUAKE
130,259449.00000000000,863001.00000000000,Diabo,DIABO,CIV04,CIV0402,CIV040201,COTE D'IVOIRE,CNTIG,VALLE DU BANDAMA,BOUAKE,BOTRO,2008,OCHA-CI,2012,OCHA-CI,CIV04020102,GBEKE,BOUAKE
131,270641.00000000000,830620.00000000000,Djébonoua,DJEBONOUA,CIV04,CIV0402,CIV040203,COTE D'IVOIRE,CNTIG,VALLE DU BANDAMA,BOUAKE,BOUAKE,2008,OCHA-CI,2012,OCHA-CI,CIV04020305,GBEKE,BOUAKE
132,264875.00000000000,909226.00000000000,Fronan,FRONAN,CIV04,CIV0401,CIV040103,COTE D'IVOIRE,CNTIG,VALLE DU BANDAMA,BOUAKE,KATIOLA,2008,OCHA-CI,2012,OCHA-CI,CIV04010301,HAMBOL,KATIOLA
133,247606.00000000000,958493.00000000000,Niakaramandougou,NIAKARAMADOUGOU,CIV04,CIV0401,CIV040101,COTE D'IVOIRE,CNTIG,VALLE DU BANDAMA,BOUAKE,NIAKARAMADOUGOU,2008,OCHA-CI,2012,OCHA-CI,CIV04010103,HAMBOL,KATIOLA
134,268157.00000000000,900492.00000000000,Katiola,KATIOLA,CIV04,CIV0401,CIV040103,COTE D'IVOIRE,CNTIG,VALLE DU BANDAMA,BOUAKE,KATIOLA,2008,OCHA-CI,2012,OCHA-CI,CIV04010303,HAMBOL,KATIOLA
135,262035.00000000000,1002710.00000000000,Tafiré,TAFIRE,CIV04,CIV0401,CIV040101,COTE D'IVOIRE,CNTIG,VALLE DU BANDAMA,BOUAKE,NIAKARAMADOUGOU,2008,OCHA-CI,2012,OCHA-CI,CIV04010102,HAMBOL,KATIOLA
136,204547.00000000000,971081.00000000000,Tortiya,TORTIYA,CIV04,CIV0401,CIV040101,COTE D'IVOIRE,CNTIG,VALLE DU BANDAMA,BOUAKE,NIAKARAMADOUGOU,2008,OCHA-CI,2012,OCHA-CI,CIV04010106,HAMBOL,KATIOLA
137,247091.00000000000,824918.00000000000,Sakassou,SAKASSOU,CIV04,CIV0402,CIV040204,COTE D'IVOIRE,CNTIG,VALLE DU BANDAMA,BOUAKE,SAKASSOU,2008,OCHA-CI,2012,OCHA-CI,CIV04020401,GBEKE,BOUAKE
138,311027.00000000000,926707.00000000000,Bonieredougou,BONIEREDOUGOU,CIV04,CIV0401,CIV040102,COTE D'IVOIRE,CNTIG,VALLE DU BANDAMA,BOUAKE,DABAKALA,2008,OCHA-CI,2012,OCHA-CI,CIV04010205,HAMBOL,KATIOLA
139,343571.00000000000,924503.00000000000,Dabakala,DABAKALA,CIV04,CIV0401,CIV040102,COTE D'IVOIRE,CNTIG,VALLE DU BANDAMA,BOUAKE,DABAKALA,2008,OCHA-CI,2012,OCHA-CI,CIV04010202,HAMBOL,KATIOLA
140,377892.00000000000,890813.00000000000,Bassawa,BASSAWA,CIV04,CIV0401,CIV040102,COTE D'IVOIRE,CNTIG,VALLE DU BANDAMA,BOUAKE,DABAKALA,2008,OCHA-CI,2012,OCHA-CI,CIV04010207,HAMBOL,KATIOLA
141,319627.00000000000,954652.00000000000,Foumbolo,FOUMBOLO,CIV04,CIV0401,CIV040102,COTE D'IVOIRE,CNTIG,VALLE DU BANDAMA,BOUAKE,DABAKALA,2008,OCHA-CI,2012,OCHA-CI,CIV04010201,HAMBOL,KATIOLA
142,331161.00000000000,873424.00000000000,Satama Sokoro,SATAMA-SOKORO,CIV04,CIV0401,CIV040102,COTE D'IVOIRE,CNTIG,VALLE DU BANDAMA,BOUAKE,DABAKALA,2008,OCHA-CI,2012,OCHA-CI,CIV04010208,HAMBOL,KATIOLA
143,349531.00000000000,873670.00000000000,Satama Sokoura,SATAMA-SOKOURA,CIV04,CIV0401,CIV040102,COTE D'IVOIRE,CNTIG,VALLE DU BANDAMA,BOUAKE,DABAKALA,2008,OCHA-CI,2012,OCHA-CI,CIV04010209,HAMBOL,KATIOLA
144,227011.00000000000,869984.00000000000,Bodokro,BODOKRO,CIV04,CIV0402,CIV040202,COTE D'IVOIRE,CNTIG,VALLE DU BANDAMA,BOUAKE,BEOUMI,2008,OCHA-CI,2012,OCHA-CI,CIV04020203,GBEKE,BOUAKE
145,142188.00000000000,989876.00000000000,Dianra,DIANRA,CIV05,CIV0501,CIV050101,COTE D'IVOIRE,CNTIG,WOROBA,SEGUELA,MANKONO,2008,OCHA-CI,2012,OCHA-CI,CIV05010101,BERE,MANKONO
146,148239.00000000000,893492.00000000000,Mankono,MANKONO,CIV05,CIV0501,CIV050101,COTE D'IVOIRE,CNTIG,WOROBA,SEGUELA,MANKONO,2008,OCHA-CI,2012,OCHA-CI,CIV05010106,BERE,MANKONO
147,150756.00000000000,932152.00000000000,Sarhala,SARHALA,CIV05,CIV0501,CIV050101,COTE D'IVOIRE,CNTIG,WOROBA,SEGUELA,MANKONO,2008,OCHA-CI,2012,OCHA-CI,CIV05010103,BERE,MANKONO
148,199430.00000000000,904254.00000000000,Tiéningboué,TIENINGBOUE,CIV05,CIV0501,CIV050101,COTE D'IVOIRE,CNTIG,WOROBA,SEGUELA,MANKONO,2008,OCHA-CI,2012,OCHA-CI,CIV05010107,BERE,MANKONO
149,60102.50000000000,971582.00000000000,Djibrosso,DJIBROSSO,CIV05,CIV0503,CIV050301,COTE D'IVOIRE,CNTIG,WOROBA,SEGUELA,KANI,2008,OCHA-CI,2012,OCHA-CI,CIV05030102,WORODOUGOU,SEGUELA
150,110285.00000000000,900530.00000000000,Dualla,DUALLA,CIV05,CIV0503,CIV050302,COTE D'IVOIRE,CNTIG,WOROBA,SEGUELA,SEGUELA,2008,OCHA-CI,2012,OCHA-CI,CIV05030203,WORODOUGOU,SEGUELA
151,103120.00000000000,940274.00000000000,Kani,KANI,CIV05,CIV0503,CIV050301,COTE D'IVOIRE,CNTIG,WOROBA,SEGUELA,KANI,2008,OCHA-CI,2012,OCHA-CI,CIV05030104,WORODOUGOU,SEGUELA
152,120872.00000000000,875147.00000000000,Massala,MASSALA,CIV05,CIV0503,CIV050302,COTE D'IVOIRE,CNTIG,WOROBA,SEGUELA,SEGUELA,2008,OCHA-CI,2012,OCHA-CI,CIV05030205,WORODOUGOU,SEGUELA
153,84087.89999999999,991793.00000000000,Morondo,MORONDO,CIV05,CIV0503,CIV050301,COTE D'IVOIRE,CNTIG,WOROBA,SEGUELA,KANI,2008,OCHA-CI,2012,OCHA-CI,CIV05030101,WORODOUGOU,SEGUELA
154,95856.80000000000,882094.00000000000,Seguela,SEGUELA,CIV05,CIV0503,CIV050302,COTE D'IVOIRE,CNTIG,WOROBA,SEGUELA,SEGUELA,2008,OCHA-CI,2012,OCHA-CI,CIV05030204,WORODOUGOU,SEGUELA
155,66666.39999999999,884265.00000000000,Sifie,SIFIE,CIV05,CIV0503,CIV050302,COTE D'IVOIRE,CNTIG,WOROBA,SEGUELA,SEGUELA,2008,OCHA-CI,2012,OCHA-CI,CIV05030206,WORODOUGOU,SEGUELA
156,70574.10000000001,916728.00000000000,Worofla,WOROFLA,CIV05,CIV0503,CIV050302,COTE D'IVOIRE,CNTIG,WOROBA,SEGUELA,SEGUELA,2008,OCHA-CI,2012,OCHA-CI,CIV05030201,WORODOUGOU,SEGUELA
157,522349.00000000000,889199.00000000000,Bondoukou,BONDOUKOU,CIV03,CIV0302,CIV030201,COTE D'IVOIRE,CNTIG,ZANZAN,BONDOUKOU,BONDOUKOU,2008,OCHA-CI,2012,OCHA-CI,CIV03020108,GONTOUGO,BONDOUKOU
158,435462.00000000000,879117.00000000000,Sandegue,SANDEGUE,CIV03,CIV0302,CIV030202,COTE D'IVOIRE,CNTIG,ZANZAN,BONDOUKOU,SANDEGUE,2008,OCHA-CI,2012,OCHA-CI,CIV03020202,GONTOUGO,BONDOUKOU
159,500011.00000000000,1024880.00000000000,Bouna,BOUNA,CIV03,CIV0301,CIV030103,COTE D'IVOIRE,CNTIG,ZANZAN,BONDOUKOU,BOUNA,2008,OCHA-CI,2012,OCHA-CI,CIV03010301,BOUNKANI,BOUNA
160,462884.00000000000,1084090.00000000000,Doropo,DOROPO,CIV03,CIV0301,CIV030102,COTE D'IVOIRE,CNTIG,ZANZAN,BONDOUKOU,DOROPO,2008,OCHA-CI,2012,OCHA-CI,CIV03010202,BOUNKANI,BOUNA
161,427656.00000000000,1061760.00000000000,Tehini,TEHINI,CIV03,CIV0301,CIV030101,COTE D'IVOIRE,CNTIG,ZANZAN,BONDOUKOU,TEHINI,2008,OCHA-CI,2012,OCHA-CI,CIV03010102,BOUNKANI,BOUNA
162,447677.00000000000,934098.00000000000,Nassian,NASSIAN,CIV03,CIV0301,CIV030104,COTE D'IVOIRE,CNTIG,ZANZAN,BONDOUKOU,NASSIAN,2008,OCHA-CI,2012,OCHA-CI,CIV03010404,BOUNKANI,BOUNA
163,502408.00000000000,851224.00000000000,Assuéfry,ASSUEFRY,CIV03,CIV0302,CIV030204,COTE D'IVOIRE,CNTIG,ZANZAN,BONDOUKOU,TRANSUA,2008,OCHA-CI,2012,OCHA-CI,CIV03020401,GONTOUGO,BONDOUKOU
164,442275.00000000000,864053.00000000000,Kouassi-Datékro,KOUASSI-DATEKRO,CIV03,CIV0302,CIV030205,COTE D'IVOIRE,CNTIG,ZANZAN,BONDOUKOU,KOUN-FAO,2008,OCHA-CI,2012,OCHA-CI,CIV03020501,GONTOUGO,BONDOUKOU
165,472341.00000000000,827341.00000000000,Koun Fao,KOUN-FAO,CIV03,CIV0302,CIV030205,COTE D'IVOIRE,CNTIG,ZANZAN,BONDOUKOU,KOUN-FAO,2008,OCHA-CI,2012,OCHA-CI,CIV03020503,GONTOUGO,BONDOUKOU
166,481486.00000000000,862014.00000000000,Tanda,TANDA,CIV03,CIV0302,CIV030203,COTE D'IVOIRE,CNTIG,ZANZAN,BONDOUKOU,TANDA,2008,OCHA-CI,2012,OCHA-CI,CIV03020303,GONTOUGO,BONDOUKOU
167,498586.00000000000,834939.00000000000,Transua,TRANSUA,CIV03,CIV0302,CIV030204,COTE D'IVOIRE,CNTIG,ZANZAN,BONDOUKOU,TRANSUA,2008,OCHA-CI,2012,OCHA-CI,CIV03020402,GONTOUGO,BONDOUKOU
168,496450.00000000000,598489.00000000000,Maféré,MAFERE,CIV09,CIV0902,CIV090201,COTE D'IVOIRE,CNTIG,COMOE,ABENGOUROU,ABOISSO,2008,OCHA-CI,2012,OCHA-CI,CIV09020105,SUD-COMOE,ABOISSO
169,427539.00000000000,683425.00000000000,Yakasse attobrou,YAKASSE-ATTOBROU,CIV13,CIV1301,CIV130103,COTE D'IVOIRE,CNTIG,LAGUNES,AGBOVILLE,YAKASSE-ATTOBROU,2008,OCHA-CI,2012,OCHA-CI,CIV13010302,ME,ADZOPE
170,160295.00000000000,865960.00000000000,Kongasso,KONGASSO,CIV05,CIV0501,CIV050102,COTE D'IVOIRE,CNTIG,WOROBA,SEGUELA,KOUNAHIRI,2008,OCHA-CI,2012,OCHA-CI,CIV05010202,BERE,MANKONO
171,187282.00000000000,862520.00000000000,Kounahiri,KOUNAHIRI,CIV05,CIV0501,CIV050102,COTE D'IVOIRE,CNTIG,WOROBA,SEGUELA,KOUNAHIRI,2008,OCHA-CI,2012,OCHA-CI,CIV05010201,BERE,MANKONO
172,26064.60000000000,1059030.00000000000,Tiémé,TIEME,CIV02,CIV0202,CIV020203,COTE D'IVOIRE,CNTIG,DENGUELE,ODIENNE,ODIENNE,2008,OCHA-CI,2012,OCHA-CI,CIV02020305,KABADOUGOU,ODIENNE
173,395394.00000000000,660491.00000000000,Agou,AGOU,CIV13,CIV1301,CIV130102,COTE D'IVOIRE,CNTIG,LAGUNES,AGBOVILLE,ADZOPE,2008,OCHA-CI,2012,OCHA-CI,CIV13010202,ME,ADZOPE
174,416296.00000000000,802043.00000000000,Ettrokro,ETTROKRO,CIV07,CIV0701,CIV070103,COTE D'IVOIRE,CNTIG,LACS,DIMBOKRO,DAOUKRO,2008,OCHA-CI,2012,OCHA-CI,CIV07010305,IFFOU,DAOUKRO
175,-29469.40000000000,806388.00000000000,Sangouiné,SANGOUINE,CIV06,CIV0601,CIV060102,COTE D'IVOIRE,CNTIG,MONTAGNES,MAN,MAN,2008,OCHA-CI,2012,OCHA-CI,CIV06010203,TONKPI,MAN
176,137734.00000000000,717413.00000000000,Saioua,SAIOUA,CIV08,CIV0801,CIV080104,COTE D'IVOIRE,CNTIG,SASSANDRA-MARAHOUE,DALOA,ISSIA,2008,OCHA-CI,2012,OCHA-CI,CIV08010403,HAUT-SASSANDRA,DALOA
177,394930.00000000000,698768.00000000000,Afféry,AFFERY,CIV13,CIV1301,CIV130101,COTE D'IVOIRE,CNTIG,LAGUNES,AGBOVILLE,AKOUPE,2008,OCHA-CI,2012,OCHA-CI,CIV13010103,ME,ADZOPE
178,145555.00000000000,1147690.00000000000,Kanakono,KANAKONO,CIV01,CIV0101,CIV010101,COTE D'IVOIRE,CNTIG,SAVANES,KORHOGO,TENGRELA,2008,OCHA-CI,2012,OCHA-CI,CIV01010104,BAGOUE,BOUNDIALI
179,159608.00000000000,629781.00000000000,Guéyo,GUEYO,CIV12,CIV1201,CIV120102,COTE D'IVOIRE,CNTIG,BAS-SASSANDRA,SAN PEDRO,GUEYO,2008,OCHA-CI,2012,OCHA-CI,CIV12010201,NAWA,SOUBRE
180,345533.00000000000,634068.00000000000,Oress Krobou,ORESS-KROBOU,CIV13,CIV1302,CIV130202,COTE D'IVOIRE,CNTIG,LAGUNES,AGBOVILLE,AGBOVILLE,2008,OCHA-CI,2012,OCHA-CI,CIV13020209,AGNEBY-TIASSA,AGBOVILLE
181,352336.00000000000,642622.00000000000,Loviguie,LOVIGUIE,CIV13,CIV1302,CIV130202,COTE D'IVOIRE,CNTIG,LAGUNES,AGBOVILLE,AGBOVILLE,2008,OCHA-CI,2012,OCHA-CI,CIV13020208,AGNEBY-TIASSA,AGBOVILLE
182,374461.00000000000,661087.00000000000,Grand Morié,GRAND-MORIE,CIV13,CIV1302,CIV130202,COTE D'IVOIRE,CNTIG,LAGUNES,AGBOVILLE,AGBOVILLE,2008,OCHA-CI,2012,OCHA-CI,CIV13020205,AGNEBY-TIASSA,AGBOVILLE
183,342810.00000000000,689980.00000000000,Cechi,CECHI,CIV13,CIV1302,CIV130202,COTE D'IVOIRE,CNTIG,LAGUNES,AGBOVILLE,AGBOVILLE,2008,OCHA-CI,2012,OCHA-CI,CIV13020201,AGNEBY-TIASSA,AGBOVILLE
184,440091.00000000000,690782.00000000000,Abongoua,ABONGOUA,CIV13,CIV1301,CIV130103,COTE D'IVOIRE,CNTIG,LAGUNES,AGBOVILLE,YAKASSE-ATTOBROU,2008,OCHA-CI,2012,OCHA-CI,CIV13010301,ME,ADZOPE
185,429566.00000000000,671926.00000000000,Biéby,BIEBY,CIV13,CIV1301,CIV130103,COTE D'IVOIRE,CNTIG,LAGUNES,AGBOVILLE,YAKASSE-ATTOBROU,2008,OCHA-CI,2012,OCHA-CI,CIV13010303,ME,ADZOPE
186,410161.00000000000,662697.00000000000,Assikoi,ASSIKOI,CIV13,CIV1301,CIV130102,COTE D'IVOIRE,CNTIG,LAGUNES,AGBOVILLE,ADZOPE,2008,OCHA-CI,2012,OCHA-CI,CIV13010203,ME,ADZOPE
187,387814.00000000000,653220.00000000000,Bécédi-Brignan,BECEDI-BRIGNAN,CIV13,CIV1301,CIV130102,COTE D'IVOIRE,CNTIG,LAGUNES,AGBOVILLE,ADZOPE,2008,OCHA-CI,2012,OCHA-CI,CIV13010205,ME,ADZOPE
188,406669.00000000000,716671.00000000000,Bécouéfin,BECOUEFIN,CIV13,CIV1301,CIV130101,COTE D'IVOIRE,CNTIG,LAGUNES,AGBOVILLE,AKOUPE,2008,OCHA-CI,2012,OCHA-CI,CIV13010101,ME,ADZOPE
189,-15993.40000000000,881111.00000000000,Foungbesso,FOUNGBESSO,CIV05,CIV0502,CIV050202,COTE D'IVOIRE,CNTIG,WOROBA,SEGUELA,TOUBA,2008,OCHA-CI,2012,OCHA-CI,CIV05020204,BAFING,TOUBA
190,47334.00000000000,549778.00000000000,Dogbo,DOGBO,CIV12,CIV1202,CIV120202,COTE D'IVOIRE,CNTIG,BAS-SASSANDRA,SAN PEDRO,SAN PEDRO,2008,OCHA-CI,2012,OCHA-CI,CIV12020202,SAN PEDRO,SAN PEDRO
191,105614.00000000000,556275.00000000000,Gabiadji,GABIADJI,CIV12,CIV1202,CIV120202,COTE D'IVOIRE,CNTIG,BAS-SASSANDRA,SAN PEDRO,SAN PEDRO,2008,OCHA-CI,2012,OCHA-CI,CIV12020203,SAN PEDRO,SAN PEDRO
192,74927.10000000001,578331.00000000000,Doba,DOBA,CIV12,CIV1202,CIV120202,COTE D'IVOIRE,CNTIG,BAS-SASSANDRA,SAN PEDRO,SAN PEDRO,2008,OCHA-CI,2012,OCHA-CI,CIV12020201,SAN PEDRO,SAN PEDRO
193,163414.00000000000,614171.00000000000,Dabouyo,DABOUYO,CIV12,CIV1201,CIV120102,COTE D'IVOIRE,CNTIG,BAS-SASSANDRA,SAN PEDRO,GUEYO,2008,OCHA-CI,2012,OCHA-CI,CIV12010202,NAWA,SOUBRE
194,159927.00000000000,580506.00000000000,Dakpadou,DAKPADOU,CIV12,CIV1203,CIV120301,COTE D'IVOIRE,CNTIG,BAS-SASSANDRA,SAN PEDRO,SASSANDRA,2008,OCHA-CI,2012,OCHA-CI,CIV12030104,GBOKLE,SASSANDRA
195,177053.00000000000,583544.00000000000,Sago,SAGO,CIV12,CIV1203,CIV120301,COTE D'IVOIRE,CNTIG,BAS-SASSANDRA,SAN PEDRO,SASSANDRA,2008,OCHA-CI,2012,OCHA-CI,CIV12030101,GBOKLE,SASSANDRA
196,24311.50000000000,594606.00000000000,Djouroutou,DJOUROUTOU,CIV12,CIV1202,CIV120201,COTE D'IVOIRE,CNTIG,BAS-SASSANDRA,SAN PEDRO,TABOU,2008,OCHA-CI,2012,OCHA-CI,CIV12020101,SAN PEDRO,SAN PEDRO
197,103178.00000000000,616027.00000000000,Oupoyo,OUPOYO,CIV12,CIV1201,CIV120101,COTE D'IVOIRE,CNTIG,BAS-SASSANDRA,SAN PEDRO,SOUBRE,2008,OCHA-CI,2012,OCHA-CI,CIV12010108,NAWA,SOUBRE
