CNTRY_NAME,CNTRY_CODE,ADM1_NAME,ADM1_CODE,ADM2_NAME,ADM2_CODE,WHO_REGION,ISO_2_CODE,ADM2_COD_1,ADM1_COD_1,ADM0_CODE,GUID,WHO_CODE,ISO_2_ADM2,LVL,WHO_STATUS,UN_CODE,UNICEF_REG,CENTER_LON,CENTER_LAT,GlobalID,ADM1_VIZ_N,ADM2_VIZ_N,OCHAPCODE1,OCHAPCODE2
Guinea,GIN,Kindia,GIN005,Kindia,GIN005005,AFRO,GN,GN001005004000000000,GN001005000000000000,GN001000000000000000,{A4EE52F5-14CF-455E-9083-098A531C05BC},GUI,GN_KINDIA,2,Member state,324,WCARO,-12.74881420390,10.09839040210,{A53F67F3-EABD-444A-8609-8EDAC0641EEF},Kindia,Kindia,GN05,GN0505
Guinea,GIN,Kindia,GIN005,Fria,GIN005004,AFRO,GN,GN001001003000000000,GN001001000000000000,GN001000000000000000,{10025130-AD44-4B4F-A231-45BBE541B861},GUI,GN_FRIA,2,Member state,324,WCARO,-13.58722165310,10.50700453680,{C2D7C548-12AE-4A1E-8D49-39FB214009A5},Boke,Fria,GN05,GN0504
Guinea,GIN,Boke,GIN001,Boke,GIN001002,AFRO,GN,GN001001002000000000,GN001001000000000000,GN001000000000000000,{817C3D7B-887E-4C07-9739-30084F498A26},GUI,GN_BOKE,2,Member state,324,WCARO,-14.36176876950,11.08938387930,{4FD9F551-1D4A-46D4-AF92-7C77B02FBC17},Boke,Boke,GN01,GN0102
Guinea,GIN,Kankan,GIN004,Kankan,GIN004001,AFRO,GN,GN001004001000000000,GN001004000000000000,GN001000000000000000,{6B598816-7B2E-4A23-82BC-A2FB71A01E39},GUI,GN_KANKAN,2,Member state,324,WCARO,-9.10871243056,10.06038513900,{0607C700-9B3B-43FA-9109-969CCF8C59A0},Kankan,Kankan,GN04,GN0401
Guinea,GIN,Faranah,GIN003,Dabola,GIN003001,AFRO,GN,GN001003001000000000,GN001003000000000000,GN001000000000000000,{8E2F5727-BCCF-434A-A01B-5FCCF877637A},GUI,GN_DABOLA,2,Member state,324,WCARO,-11.06275387090,10.72990124260,{588F02BA-67BD-4B0F-8CF8-799D6E33B52A},Faranah,Dabola,GN03,GN0301
Guinea,GIN,Mamou,GIN007,Dalaba,GIN007001,AFRO,GN,GN001007001000000000,GN001007000000000000,GN001000000000000000,{6639C07D-56B0-441C-A9D8-9985FC080957},GUI,GN_DALABA,2,Member state,324,WCARO,-12.14027940810,10.91317934970,{1B9B50B7-57E2-49D6-932F-DD648B4767C6},Mamou,Dalaba,GN07,GN0701
Guinea,GIN,Mamou,GIN007,Pita,GIN007003,AFRO,GN,GN001007003000000000,GN001007000000000000,GN001000000000000000,{A5AE1042-B5B2-4938-9B57-F94E87E10A4B},GUI,GN_PITA,2,Member state,324,WCARO,-12.63565834910,10.89647983320,{4EE0976F-A1AA-4A28-A26F-4DECDBDB3295},Mamou,Pita,GN07,GN0703
Guinea,GIN,Kindia,GIN005,Telimele,GIN005006,AFRO,GN,GN001005005000000000,GN001005000000000000,GN001000000000000000,{44DB1871-6BAB-4625-9C51-E07B8E774FE8},GUI,GN_TELIMELE,2,Member state,324,WCARO,-13.35912466190,10.91925524880,{4F0046B0-8FEE-4C62-AED4-F73F79E7B659},Kindia,Telimele,GN05,GN0506
Guinea,GIN,Kankan,GIN004,Kouroussa,GIN004003,AFRO,GN,GN001004003000000000,GN001004000000000000,GN001000000000000000,{6A3FFDD6-2F88-42E8-BD70-2B23ADD42F93},GUI,GN_KOUROUSSA,2,Member state,324,WCARO,-10.10127914950,10.58198995350,{813DF487-0EF2-4691-BB7B-0FE48B174460},Kankan,Kouroussa,GN04,GN0403
Guinea,GIN,Kankan,GIN004,Mandiana,GIN004004,AFRO,GN,GN001004004000000000,GN001004000000000000,GN001000000000000000,{5FE6EEFE-756C-42FD-A228-6AC002879C97},GUI,GN_MANDIANA,2,Member state,324,WCARO,-8.61762205184,10.76213541960,{90164FD5-7608-4359-9EFE-E1CEBDFED0BF},Kankan,Mandiana,GN04,GN0404
Guinea,GIN,Labe,GIN006,Labe,GIN006002,AFRO,GN,GN001006002000000000,GN001006000000000000,GN001000000000000000,{FBC498FD-42BE-483E-AC92-5E3D411976AE},GUI,GN_LABE,2,Member state,324,WCARO,-12.30761118820,11.38189040600,{2E3FCA8C-1EAC-4499-9841-66B989592170},Labe,Labe,GN06,GN0602
Guinea,GIN,Labe,GIN006,Lelouma,GIN006003,AFRO,GN,GN001006003000000000,GN001006000000000000,GN001000000000000000,{F964B398-9DF1-4D68-947B-2A90C0D1C060},GUI,GN_LELOUMA,2,Member state,324,WCARO,-12.68750303820,11.50673609160,{152C576B-869D-4756-983C-0ABA23DD920B},Labe,Lelouma,GN06,GN0603
Guinea,GIN,Labe,GIN006,Tougue,GIN006005,AFRO,GN,GN001006005000000000,GN001006000000000000,GN001000000000000000,{CC6C947C-A7AD-403B-A981-90D9825AAEFD},GUI,GN_TOUGUE,2,Member state,324,WCARO,-11.51720643180,11.50007648220,{0AECF59E-1559-4D1F-9854-2F2A7ACD8803},Labe,Tougue,GN06,GN0605
Guinea,GIN,Labe,GIN006,Koubia,GIN006001,AFRO,GN,GN001006001000000000,GN001006000000000000,GN001000000000000000,{D29375BE-9AA5-4EB6-B335-84CAACC206C6},GUI,GN_KOUBIA,2,Member state,324,WCARO,-11.79172464160,11.77609963200,{6E42D3F6-D394-4319-B6B3-DAF134D6AAAB},Labe,Koubia,GN06,GN0601
Guinea,GIN,Faranah,GIN003,Dinguiraye,GIN003002,AFRO,GN,GN001003002000000000,GN001003000000000000,GN001000000000000000,{D1431D0B-2088-4D15-890B-2021A52635F4},GUI,GN_DINGUIRAYE,2,Member state,324,WCARO,-10.72620275240,11.60696749270,{016CAA15-BF3B-46B0-A410-21EACE8F161F},Faranah,Dinguiraye,GN03,GN0302
Guinea,GIN,Boke,GIN001,Gaoual,GIN001003,AFRO,GN,GN001001004000000000,GN001001000000000000,GN001000000000000000,{3AF2956C-CF76-4590-B832-3774BF3EDEDE},GUI,GN_GAOUAL,2,Member state,324,WCARO,-13.34974206760,11.72352758730,{9192E76C-1A23-4025-8C44-6BD4A99256F6},Boke,Gaoual,GN01,GN0103
Guinea,GIN,Labe,GIN006,Mali,GIN006004,AFRO,GN,GN001006004000000000,GN001006000000000000,GN001000000000000000,{4E6E939E-02E0-44D9-A27B-C9273C8E309B},GUI,GN_MALI,2,Member state,324,WCARO,-12.17344521340,12.09559148030,{003C987E-55FF-4142-B1A4-FBB9AEB9B470},Labe,Mali,GN06,GN0604
Guinea,GIN,Kankan,GIN004,Siguiri,GIN004005,AFRO,GN,GN001004005000000000,GN001004000000000000,GN001000000000000000,{3D5505B6-E298-47E1-AF54-FA2554708C41},GUI,GN_SIGUIRI,2,Member state,324,WCARO,-9.46665017670,11.68237856270,{FF5E9BD6-EDC8-4C39-AC9D-81AEA479B3F5},Kankan,Siguiri,GN04,GN0405
Guinea,GIN,Boke,GIN001,Koundara,GIN001004,AFRO,GN,GN001001005000000000,GN001001000000000000,GN001000000000000000,{B813CEEE-6E27-4CCD-B1D2-DA052D35DE36},GUI,GN_KOUNDARA,2,Member state,324,WCARO,-13.19808129120,12.37573253480,{6D777BC0-0331-476C-8971-DA14FD032727},Boke,Koundara,GN01,GN0104
