"name","pcode","parent","admlevel"
"Koro","CIV05020105","CIV050201",4
"Ouaninou","CIV05020303","CIV050203",4
"Touba","CIV05020202","CIV050202",4
"Grand-Bí©rí©by","CIV12020205","CIV120202",4
"San Pedro","CIV12020204","CIV120202",4
"Sassandra","CIV12030106","CIV120301",4
"Grabo","CIV12020102","CIV120201",4
"Tabou","CIV12020106","CIV120201",4
"Buyo","CIV12010101","CIV120101",4
"Grand Zatry","CIV12010103","CIV120101",4
"Mí©agui","CIV12010109","CIV120101",4
"Soubre","CIV12010104","CIV120101",4
"Bako","CIV02020307","CIV020203",4
"Dioulatiedougou","CIV02020308","CIV020203",4
"Odienne","CIV02020304","CIV020203",4
"Samatiguila","CIV02020101","CIV020201",4
"Seydougou","CIV02020303","CIV020203",4
"Goulia","CIV02010202","CIV020102",4
"Minignan","CIV02010104","CIV020101",4
"Tienko","CIV02010102","CIV020101",4
"Madinani","CIV02020203","CIV020202",4
"Sí©guí©lon","CIV02020204","CIV020202",4
"Gagnoa","CIV11010207","CIV110102",4
"Guiberoua","CIV11010203","CIV110102",4
"Ouragahio","CIV11010204","CIV110102",4
"Dií©goní©fla","CIV11010104","CIV110101",4
"Oume","CIV11010101","CIV110101",4
"Daloa","CIV08010203","CIV080102",4
"Bí©diala","CIV08010201","CIV080102",4
"Gboguhí©","CIV08010205","CIV080102",4
"Zoukougbeu","CIV08010302","CIV080103",4
"Issia","CIV08010404","CIV080104",4
"Vavoua","CIV08010104","CIV080101",4
"Tiebissou","CIV07020201","CIV070202",4
"Djí©kanou","CIV07020304","CIV070203",4
"Kokoumbo","CIV07020303","CIV070203",4
"Toumodi","CIV07020302","CIV070203",4
"Yamoussoukro","CIV10010202","CIV100102",4
"Didievi","CIV07020104","CIV070201",4
"Tie N'Diekro","CIV07020101","CIV070201",4
"Anyama","CIV14010101","CIV140101",4
"ABIDJAN","CIV14010105","CIV140101",4
"Bingerville","CIV14010104","CIV140101",4
"Songon","CIV14010102","CIV140101",4
"Alepe","CIV13010403","CIV130104",4
"Dabou","CIV13030203","CIV130302",4
"Sikensi","CIV13020302","CIV130203",4
"Grand Lahou","CIV13030103","CIV130301",4
"Jacqueville","CIV13030302","CIV130303",4
"Taabo","CIV13020101","CIV130201",4
"Tiassale","CIV13020104","CIV130201",4
"Bouafle","CIV08020203","CIV080202",4
"Bonon","CIV08020202","CIV080202",4
"Sinfra","CIV08020301","CIV080203",4
"Gohitafla","CIV08020105","CIV080201",4
"Zuenoula","CIV08020103","CIV080201",4
"Bangolo","CIV06020206","CIV060202",4
"Biankouma","CIV06010104","CIV060101",4
"Gbonne","CIV06010106","CIV060101",4
"Sipilou","CIV06010102","CIV060101",4
"Danane","CIV06010304","CIV060103",4
"Zouan Hounien","CIV06010404","CIV060104",4
"Bin-Houyí©","CIV06010405","CIV060104",4
"Facobly","CIV06020105","CIV060201",4
"Kouibly","CIV06020107","CIV060201",4
"Man","CIV06010202","CIV060102",4
"Logoualí©","CIV06010210","CIV060102",4
"Duekoue","CIV06020303","CIV060203",4
"Blolequin","CIV06030101","CIV060301",4
"Guiglo","CIV06030203","CIV060302",4
"Tai","CIV06030206","CIV060302",4
"Toulepleu","CIV06030302","CIV060303",4
"Abengourou","CIV09010204","CIV090102",4
"Bettie","CIV09010302","CIV090103",4
"Niable","CIV09010205","CIV090102",4
"Agnibilekrou","CIV09010102","CIV090101",4
"Bocanda","CIV07030102","CIV070301",4
"Kouassi-Kouassikro","CIV07030101","CIV070301",4
"Bongouanou","CIV07030304","CIV070303",4
"Arrah","CIV07030402","CIV070304",4
"Anoumaba","CIV07030504","CIV070305",4
"M'Batto","CIV07030503","CIV070305",4
"Tií©mí©lí©kro","CIV07030502","CIV070305",4
