name,pcode,parent,admlevel
Albadariah,GIN00300401,GIN003004,3
Allassoyah,GIN00500301,GIN005003,3
Arfamoussayah,GIN00300101,GIN003001,3
Babila,GIN00400301,GIN004003,3
Badi,GIN00500201,GIN005002,3
Baguinet,GIN00500601,GIN005006,3
Balaki,GIN00600401,GIN006004,3
Balandougou,GIN00400101,GIN004001,3
Balandougouba,GIN00400401,GIN004004,3
Balato,GIN00400302,GIN004003,3
Balaya,GIN00600301,GIN006003,3
Balizia,GIN00800301,GIN008003,3
Banama,GIN00300402,GIN003004,3
Banankoro,GIN00400201,GIN004002,3
Banfele,GIN00400303,GIN004003,3
Bangouya,GIN00500401,GIN005004,3
Banguigny,GIN00500602,GIN005006,3
Banie,GIN00800501,GIN008005,3
Banko,GIN00300102,GIN003001,3
Bankon,GIN00400501,GIN004005,3
Banora,GIN00300201,GIN003002,3
Bantignel,GIN00700301,GIN007003,3
Bardou,GIN00300403,GIN003004,3
Baro,GIN00400304,GIN004003,3
Bate Nafadji,GIN00400102,GIN004001,3
Beindou,GIN00300404,GIN003004,3
Beindou,GIN00300302,GIN003003,3
Benty,GIN00500302,GIN005003,3
Beyla Ctre,GIN00800101,GIN008001,3
Bheeta,GIN00800502,GIN008005,3
Bignamou,GIN00800503,GIN008005,3
Binikala,GIN00800302,GIN008003,3
Bintimodia,GIN00100201,GIN001002,3
Bissikrima,GIN00300103,GIN003001,3
Bodie,GIN00700101,GIN007001,3
Boffa Ctre,GIN00100101,GIN001001,3
Bofossou,GIN00800303,GIN008003,3
Boke Ctre,GIN00100202,GIN001002,3
Bolodou,GIN00800601,GIN008006,3
Boola,GIN00800102,GIN008001,3
Bossou,GIN00800201,GIN008002,3
Boula,GIN00400103,GIN004001,3
Bouliwel,GIN00700201,GIN007002,3
Bounouma,GIN00800401,GIN008004,3
Bourouwal,GIN00500501,GIN005005,3
Bowe,GIN00800504,GIN008005,3
Brouwal Tape,GIN00700302,GIN007003,3
Cissela,GIN00400305,GIN004003,3
Coyah Ctre,GIN00500101,GIN005001,3
Dabiss,GIN00100203,GIN001002,3
Dabola Ctre,GIN00300104,GIN003001,3
Dalaba Ctre,GIN00700102,GIN007001,3
Dalein,GIN00600201,GIN006002,3
Damakania,GIN00500402,GIN005004,3
Damaro,GIN00400202,GIN004002,3
Daralabe,GIN00600202,GIN006002,3
Daramagnaky,GIN00500502,GIN005005,3
Daro,GIN00800304,GIN008003,3
Dialakoro,GIN00300202,GIN003002,3
Dialokoro,GIN00400402,GIN004004,3
Diaraguerela,GIN00800103,GIN008001,3
Diari,GIN00600203,GIN006002,3
Diassodou,GIN00800104,GIN008001,3
Diatifere,GIN00300203,GIN003002,3
Diecke,GIN00800505,GIN008005,3
Dinguiraye Ctre,GIN00300204,GIN003002,3
