name,pcode,parent,admlevel
Aba North,NGA001001,NGA001,2
Aba South,NGA001002,NGA001,2
Arochukwu,NGA001003,NGA001,2
Bende,NGA001004,NGA001,2
Ikwuano,NGA001005,NGA001,2
Isiala-Ngwa North,NGA001006,NGA001,2
Isiala-Ngwa South,NGA001007,NGA001,2
Isuikwato,NGA001008,NGA001,2
Obi Nwa,NGA001009,NGA001,2
Ohafia,NGA001010,NGA001,2
Osisioma Ngwa,NGA001011,NGA001,2
Ugwunagbo,NGA001012,NGA001,2
Ukwa East,NGA001013,NGA001,2
Ukwa West,NGA001014,NGA001,2
Umu-Neochi,NGA001017,NGA001,2
Umuahia North,NGA001015,NGA001,2
Umuahia South,NGA001016,NGA001,2
Demsa,NGA002001,NGA002,2
Gireri,NGA002004,NGA002,2
Gombi,NGA002005,NGA002,2
Guyuk,NGA002006,NGA002,2
Hong,NGA002007,NGA002,2
Lamurde,NGA002009,NGA002,2
Mayo-Belwa,NGA002012,NGA002,2
Numan,NGA002016,NGA002,2
Shelleng,NGA002017,NGA002,2
Song,NGA002018,NGA002,2
Yola North,NGA002020,NGA002,2
Yola South,NGA002021,NGA002,2
Abak,NGA003001,NGA003,2
Eket,NGA003003,NGA003,2
Esit Eket,NGA003004,NGA003,2
Essien Udim,NGA003005,NGA003,2
Etim Ekpo,NGA003006,NGA003,2
Etinan,NGA003007,NGA003,2
Ibesikpo Asutan,NGA003009,NGA003,2
Ibiono Ibom,NGA003010,NGA003,2
Ika,NGA003011,NGA003,2
Ikono,NGA003012,NGA003,2
Ikot Abasi,NGA003013,NGA003,2
Ikot Ekpene,NGA003014,NGA003,2
Ini,NGA003015,NGA003,2
Itu,NGA003016,NGA003,2
Mkpat Enin,NGA003018,NGA003,2
Nsit Atai,NGA003019,NGA003,2
Nsit Ibom,NGA003020,NGA003,2
Nsit Ubium,NGA003021,NGA003,2
Obot Akara,NGA003022,NGA003,2
Okobo,NGA003023,NGA003,2
Onna,NGA003024,NGA003,2
Oruk Anam,NGA003026,NGA003,2
Ukanafun,NGA003028,NGA003,2
Uruan,NGA003029,NGA003,2
Urue-Offong/Oruko,NGA003030,NGA003,2
Uyo,NGA003031,NGA003,2
Aguata,NGA004001,NGA004,2
Anambra East,NGA004002,NGA004,2
Anambra West,NGA004003,NGA004,2
Anaocha,NGA004004,NGA004,2
